Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Achiet-le-Grand;Aéroport Charles de Gaulle 1;87271460;93290;B;6584031;6584031;3460437;3460437;2177954;2177954;7971396;7971396;7590098;7590098;7199779;7199779;6690263;6690263;6226179;6226179;93
Aéroport Charles de Gaulle 1;Aéroport Charles de Gaulle 2 TGV;87271494;95700;A;12949183;12999716;6281244;6312246;5011999;5035012;15227840;15283854;14907773;14961932;14649835;14704083;13534634;13581113;12976556;13021148;95
Aéroport Charles de Gaulle 2 TGV;Auvers-sur-Oise;87276543;95430;B;103170;103170;94246;94246;59979;59979;137596;137596;124831;124831;127133;127133;123968;123968;121177;121177;95
Agen;Avenue Henri Martin;87381046;75016;B;668376;668376;418488;418488;436310;436310;809171;809171;839928;839928;874140;874140;891938;891938;906404;906404;75
Aiguebelette-le-Lac;Ax-les-Thermes;87611533;9110;C;87663;87663;48402;48402;35495;35495;66861;66861;68712;68712;84104;84104;76609;76609;87362;87362;91
Aiguebelle;Ballancourt-sur-Essonne;87681437;91610;B;400923;400923;437411;437411;261589;261589;485406;485406;498440;498440;515230;515230;521401;521401;525543;525543;91
Aigues-Mortes;Bellevue;87393116;92360;B;1094825;1094825;963958;963958;561566;561566;1326402;1326402;1346821;1346821;1370573;1370573;1369605;1369605;1360814;1360814;92
Aix-en-Provence;Beynes;87393363;78650;B;158901;158901;151643;151643;86727;86727;192598;192598;188216;188216;184586;184586;177372;177372;169429;169429;78
Alaï;Boissise-le-Roi;87682518;77310;B;106713;106713;89893;89893;68921;68921;129195;129195;129907;129907;132082;132082;131326;131326;130124;130124;77
Albertville;Bougival;87382440;78170;B;788442;788442;703957;703957;436970;436970;876847;876847;869907;869907;869754;869754;851846;851846;811830;811830;78
Albi;Bouray;87545178;91850;B;1219351;1219351;953033;953033;626559;626559;1476220;1476220;1463257;1463257;1470879;1470879;1442819;1442819;1408495;1408495;91
Allassac;Brétigny-sur-Orge;87545194;91220;B;5496901;5496901;5104301;5104301;3240166;3240166;6654818;6654818;6622680;6622680;6638324;6638324;6515476;6515476;6360502;6360502;91
Allenc;Breuillet - Bruyères-le-Châtel;87545483;91650;B;425888;425888;457908;457908;257008;257008;515602;515602;518454;518454;525645;525645;520688;520688;513952;513952;91
Altkirch;Brunoy;87682120;91800;B;4246577;4246577;3464332;3464332;920246;920246;5141272;5141272;5045320;5045320;4964873;4964873;4792605;4792605;4604922;4604922;91
