;Date;code site;Organisme;nom site;valeur brute;NatlStationCode;Name;Municipality;EUStationCode;Latitude;Longitude;Altitude
656;02/01/2024;FR04004;AIRPARIF;PARIS 18eme;15.44773807142857;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
657;03/01/2024;FR04004;AIRPARIF;PARIS 18eme;17.79220235714286;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
658;04/01/2024;FR04004;AIRPARIF;PARIS 18eme;19.27875584507042;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
659;05/01/2024;FR04004;AIRPARIF;PARIS 18eme;20.994907430555557;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
660;06/01/2024;FR04004;AIRPARIF;PARIS 18eme;20.21754083916084;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
661;07/01/2024;FR04004;AIRPARIF;PARIS 18eme;19.407692307692308;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
662;08/01/2024;FR04004;AIRPARIF;PARIS 18eme;21.381770833333334;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
663;09/01/2024;FR04004;AIRPARIF;PARIS 18eme;21.009375;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
664;10/01/2024;FR04004;AIRPARIF;PARIS 18eme;27.820659722222224;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
665;11/01/2024;FR04004;AIRPARIF;PARIS 18eme;36.57297451388889;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
666;12/01/2024;FR04004;AIRPARIF;PARIS 18eme;27.153819444444444;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
667;13/01/2024;FR04004;AIRPARIF;PARIS 18eme;29.22239583333333;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
668;14/01/2024;FR04004;AIRPARIF;PARIS 18eme;28.4234375;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
669;15/01/2024;FR04004;AIRPARIF;PARIS 18eme;24.984759729729728;FR04004;PARIS 18eme;PARIS 18E ARRONDISSEMENT;FR04004;48.891666;2.346667;60
678;02/01/2024;FR04014;AIRPARIF;PARIS 12eme;7.816304347826088;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
679;03/01/2024;FR04014;AIRPARIF;PARIS 12eme;8.741319444444445;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
680;04/01/2024;FR04014;AIRPARIF;PARIS 12eme;16.31074884057971;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
681;05/01/2024;FR04014;AIRPARIF;PARIS 12eme;20.232986111111114;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
682;06/01/2024;FR04014;AIRPARIF;PARIS 12eme;18.56597222222222;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
683;07/01/2024;FR04014;AIRPARIF;PARIS 12eme;11.665972222222223;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
684;08/01/2024;FR04014;AIRPARIF;PARIS 12eme;16.51736111111111;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
685;09/01/2024;FR04014;AIRPARIF;PARIS 12eme;16.62391304347826;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
686;10/01/2024;FR04014;AIRPARIF;PARIS 12eme;25.023611111111112;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
687;11/01/2024;FR04014;AIRPARIF;PARIS 12eme;43.28923611111111;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
688;12/01/2024;FR04014;AIRPARIF;PARIS 12eme;24.415277777777778;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
689;13/01/2024;FR04014;AIRPARIF;PARIS 12eme;25.745833333333334;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
690;14/01/2024;FR04014;AIRPARIF;PARIS 12eme;28.073958333333334;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
691;15/01/2024;FR04014;AIRPARIF;PARIS 12eme;28.228508771929825;FR04014;PARIS 12eme;PARIS 12E ARRONDISSEMENT;FR04014;48.837223;2.3939;40
706;02/01/2024;FR04018;AIRPARIF;AUBERVILLIERS;8.013541666666667;FR04018;AUBERVILLIERS;AUBERVILLIERS;FR04018;48.9039;2.3847;42
707;03/01/2024;FR04018;AIRPARIF;AUBERVILLIERS;9.327083333333333;FR04018;AUBERVILLIERS;AUBERVILLIERS;FR04018;48.9039;2.3847;42
708;04/01/2024;FR04018;AIRPARIF;AUBERVILLIERS;12.56060606060606;FR04018;AUBERVILLIERS;AUBERVILLIERS;FR04018;48.9039;2.3847;42
709;05/01/2024;FR04018;AIRPARIF;AUBERVILLIERS;18.827777777777776;FR04018;AUBERVILLIERS;AUBERVILLIERS;FR04018;48.9039;2.3847;42
710;06/01/2024;FR04018;AIRPARIF;AUBERVILLIERS;17.101041666666667;FR04018;AUBERVILLIERS;AUBERVILLIERS;FR04018;48.9039;2.3847;42
